Molecule Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
(+)-Longifolene,-7.778080478,-34.76669392,-9.676626881,-6.613388019,-3.360621115,1.690776905,-2.754131174,4.376154902,-9.618627643,-6.280137196,13.19934373,-5.430555919,9.558531466,-6.570851872,8.978484243
"(3S-cis)-(+)-2,3-Dihydro-3-isopropyl-7a-methylpyrrolo[2,1-b]oxazol-5(7aH)-one",-87.62646573,81.03787331,8.150194529,31.72225138,16.59508745,20.43819587,-8.750954715,-2.140239229,4.945088506,-10.29328571,-106.8163303,21.74290254,-0.843937541,15.42539956,-23.44995619
(-)-α-Thujone,-12.31925946,-9.77526907,8.161328009,-8.712444025,18.81106419,-18.95931211,14.19140992,-15.29015406,-26.8357347,-12.4272765,10.61044753,25.45562732,-6.16602252,-14.70294656,8.079568074
(1S)-(-)-α-Pinene,-16.80495338,-41.12902663,-3.799370889,-6.992423694,4.302116757,-2.466638736,-0.40677991,-1.15828673,-10.12481951,-3.042569808,0.714412566,-1.059164573,3.474871645,-3.009343802,-1.950624932
(1R)-(-)-Myrtenal,-16.28400288,-29.61929423,-22.46391811,59.38213905,-48.47750899,78.37277391,168.6400268,7.715588257,5.299308659,12.45260508,27.43598174,-2.022799373,-10.1197349,42.0087291,11.05470062
(1R)-(+)-Nopinone,-20.5754084,8.947452505,24.42957651,58.92442867,52.4072277,57.67679671,-14.24100599,39.74636386,14.24220222,-43.22197872,-32.05160116,15.44671859,68.6170767,-3.133839292,-10.06234973
"(3R-cis)-(-)-2,3-Dihydro-3-isopropyl-7a-methylpyrrolo[2,1-b]oxazol-5(7aH)-one",-19.20656559,53.05224829,55.98723158,100.5076638,72.726093,57.55962439,-39.75230495,28.80061033,19.98376887,-10.40209603,136.7606007,21.80977479,25.24483608,-35.35169718,12.63012715
(S)-(+)-Carvone,1.167155342,-5.669093692,-9.091615253,57.66542356,-68.65715248,46.09046931,113.2323151,16.46884425,-23.77391364,13.72808938,-3.003874271,15.36060819,-3.644718827,-44.47688321,-21.3671735
(S)-(+)-2-Hexanol,4.224654363,11.22499738,-18.05697631,43.63858517,-55.77337005,4.641707505,-32.58843361,5.683303376,-11.49715701,-5.564709771,4.020098289,-13.69173377,-18.94093632,3.259496225,8.992166392
(S)-(+)-2-Pentanol,-1.686656296,1.031738174,-15.20658663,37.83481229,-45.11119389,3.732896375,-24.2178583,2.334303605,-10.32079433,-5.935247427,-4.616152156,-13.54254808,-8.533499609,4.19777134,5.731286254
(S)-(+)-2-Butanol,-25.89747018,-27.31431817,-9.803444534,-0.783844396,-16.66368916,7.519360705,-15.78590036,-0.994914059,-13.70039118,-1.421978512,-5.349830789,-3.556025463,-21.07139596,-13.56327767,4.290222233
(S)-(+)-2-Pentanol,-25.01431151,-37.49890964,-0.575162147,4.080396079,-4.974915648,9.166139255,6.212026977,0.488789271,-19.487488,7.439645251,-8.478451385,-8.011249727,5.90100358,-6.977015535,5.227928771
(S)-(+)-2-Hexanol,-16.59914859,-39.64281001,-3.993158116,-4.416896176,0.245571733,1.931252799,1.604159633,2.626392952,-9.0404757,3.618423074,-4.119222543,-4.404593011,2.847657617,-4.467076194,3.1368224
(S)-(+)-2-Butanol,-19.35409616,-43.1287775,-1.963732767,-8.768474924,4.648027231,-1.140688174,-1.680611543,1.110241477,-7.68140211,5.028134801,-2.749515941,-3.6460558,0.175544848,-6.44670799,2.722195654
(S)-(+)-2-Octanol,-7.071408568,4.69735842,-27.30222845,21.57678586,-44.70389805,13.250346,-29.23234939,7.429900494,-22.19339938,-14.63452455,-3.713493651,-13.86501865,-31.72838979,-6.502060269,9.674657828
(S)-(+)-2-Nonanol,-2.715932369,-13.88687302,-23.93180085,13.41830252,-39.95549608,8.569607036,-29.79402399,1.406718407,-16.64165655,-20.4686613,-1.170865792,-4.719571384,-24.54601915,3.33628791,4.789302931
